tool,severity,rule_id,title,file,line,cve,cwe,owasp,details
dependency-check,MEDIUM,pkg:maven/commons-httpclient/commons-httpclient@3.1,CVE-2012-5783,/src/lib/commons-httpclient-3.1.jar,,CVE-2012-5783,CWE-295,,"Apache Commons HttpClient 3.x, as used in Amazon Flexible Payments Service (FPS) merchant Java SDK and other products, does not verify that the server hostname matches a domain name in the subject's Common Name (CN) or subjectAltName field of the X.509 certificate, which allows man-in-the-middle attackers to spoof SSL servers via an arbitrary valid certificate."
dependency-check,MEDIUM,pkg:maven/commons-httpclient/commons-httpclient@3.1,CVE-2020-13956,/src/lib/commons-httpclient-3.1.jar,,CVE-2020-13956,NVD-CWE-noinfo,,Apache HttpClient versions prior to version 4.5.13 and 5.0.3 can misinterpret malformed authority component in request URIs passed to the library as java.net.URI object and pick the wrong target host for request execution.
dependency-check,CRITICAL,pkg:maven/org.codehaus.groovy/groovy-all@2.1.6,CVE-2015-3253,/src/lib/groovy-all-2.1.6.jar,,CVE-2015-3253,CWE-74,,The MethodClosure class in runtime/MethodClosure.java in Apache Groovy 1.7.0 through 2.4.3 allows remote attackers to execute arbitrary code or cause a denial of service via a crafted serialized object.
dependency-check,CRITICAL,pkg:maven/org.codehaus.groovy/groovy-all@2.1.6,CVE-2016-6814,/src/lib/groovy-all-2.1.6.jar,,CVE-2016-6814,CWE-502,,"When an application with unsupported Codehaus versions of Groovy from 1.7.0 to 2.4.3, Apache Groovy 2.4.4 to 2.4.7 on classpath uses standard Java serialization mechanisms, e.g. to communicate between servers or to store local data, it was possible for an attacker to bake a special serialized object that will execute code directly when deserialized. All applications which rely on serialization and do not isolate the code which deserializes objects were subject to this vulnerability."
dependency-check,MEDIUM,pkg:maven/org.codehaus.groovy/groovy-all@2.1.6,CVE-2020-17521,/src/lib/groovy-all-2.1.6.jar,,CVE-2020-17521,NVD-CWE-Other,,"Apache Groovy provides extension methods to aid with creating temporary directories. Prior to this fix, Groovy's implementation of those extension methods was using a now superseded Java JDK method call that is potentially not secure on some operating systems in some contexts. Users not using the extension methods mentioned in the advisory are not affected, but may wish to read the advisory for further details. Versions Affected: 2.0 to 2.4.20, 2.5.0 to 2.5.13, 3.0.0 to 3.0.6, and 4.0.0-alpha-1. Fixed in versions 2.4.21, 2.5.14, 3.0.7, 4.0.0-alpha-2."
dependency-check,MEDIUM,pkg:maven/com.fasterxml.jackson.core/jackson-annotations@2.4.0,CVE-2018-1000873,/src/lib/jackson-annotations-2.4.0.jar,,CVE-2018-1000873,CWE-20,,"Fasterxml Jackson version Before 2.9.8 contains a CWE-20: Improper Input Validation vulnerability in Jackson-Modules-Java8 that can result in Causes a denial-of-service (DoS). This attack appear to be exploitable via The victim deserializes malicious input, specifically very large values in the nanoseconds field of a time value. This vulnerability appears to have been fixed in 2.9.8."
dependency-check,MEDIUM,pkg:maven/com.fasterxml.jackson.core/jackson-core@2.4.6,CVE-2018-1000873,/src/lib/jackson-core-2.4.6.jar,,CVE-2018-1000873,CWE-20,,"Fasterxml Jackson version Before 2.9.8 contains a CWE-20: Improper Input Validation vulnerability in Jackson-Modules-Java8 that can result in Causes a denial-of-service (DoS). This attack appear to be exploitable via The victim deserializes malicious input, specifically very large values in the nanoseconds field of a time value. This vulnerability appears to have been fixed in 2.9.8."
dependency-check,CRITICAL,pkg:maven/com.fasterxml.jackson.core/jackson-databind@2.4.6,CVE-2017-15095,/src/lib/jackson-databind-2.4.6.jar,,CVE-2017-15095,"CWE-502,CWE-184",,"A deserialization flaw was discovered in the jackson-databind in versions before 2.8.10 and 2.9.1, which could allow an unauthenticated user to perform code execution by sending the maliciously crafted input to the readValue method of the ObjectMapper. This issue extends the previous flaw CVE-2017-7525 by blacklisting more classes that could be used maliciously."
dependency-check,CRITICAL,pkg:maven/com.fasterxml.jackson.core/jackson-databind@2.4.6,CVE-2017-17485,/src/lib/jackson-databind-2.4.6.jar,,CVE-2017-17485,CWE-502,,"FasterXML jackson-databind through 2.8.10 and 2.9.x through 2.9.3 allows unauthenticated remote code execution because of an incomplete fix for the CVE-2017-7525 deserialization flaw. This is exploitable by sending maliciously crafted JSON input to the readValue method of the ObjectMapper, bypassing a blacklist that is ineffective if the Spring libraries are available in the classpath."
dependency-check,CRITICAL,pkg:maven/com.fasterxml.jackson.core/jackson-databind@2.4.6,CVE-2017-7525,/src/lib/jackson-databind-2.4.6.jar,,CVE-2017-7525,"CWE-502,CWE-184",,"A deserialization flaw was discovered in the jackson-databind, versions before 2.6.7.1, 2.7.9.1 and 2.8.9, which could allow an unauthenticated user to perform code execution by sending the maliciously crafted input to the readValue method of the ObjectMapper."
dependency-check,CRITICAL,pkg:maven/com.fasterxml.jackson.core/jackson-databind@2.4.6,CVE-2018-11307,/src/lib/jackson-databind-2.4.6.jar,,CVE-2018-11307,CWE-502,,"An issue was discovered in FasterXML jackson-databind 2.0.0 through 2.9.5. Use of Jackson default typing along with a gadget class from iBatis allows exfiltration of content. Fixed in 2.7.9.4, 2.8.11.2, and 2.9.6."
dependency-check,CRITICAL,pkg:maven/com.fasterxml.jackson.core/jackson-databind@2.4.6,CVE-2018-14718,/src/lib/jackson-databind-2.4.6.jar,,CVE-2018-14718,CWE-502,,FasterXML jackson-databind 2.x before 2.9.7 might allow remote attackers to execute arbitrary code by leveraging failure to block the slf4j-ext class from polymorphic deserialization.
dependency-check,CRITICAL,pkg:maven/com.fasterxml.jackson.core/jackson-databind@2.4.6,CVE-2018-14719,/src/lib/jackson-databind-2.4.6.jar,,CVE-2018-14719,CWE-502,,FasterXML jackson-databind 2.x before 2.9.7 might allow remote attackers to execute arbitrary code by leveraging failure to block the blaze-ds-opt and blaze-ds-core classes from polymorphic deserialization.
dependency-check,CRITICAL,pkg:maven/com.fasterxml.jackson.core/jackson-databind@2.4.6,CVE-2018-7489,/src/lib/jackson-databind-2.4.6.jar,,CVE-2018-7489,"CWE-502,CWE-184",,"FasterXML jackson-databind before 2.7.9.3, 2.8.x before 2.8.11.1 and 2.9.x before 2.9.5 allows unauthenticated remote code execution because of an incomplete fix for the CVE-2017-7525 deserialization flaw. This is exploitable by sending maliciously crafted JSON input to the readValue method of the ObjectMapper, bypassing a blacklist that is ineffective if the c3p0 libraries are available in the classpath."
dependency-check,CRITICAL,pkg:maven/com.fasterxml.jackson.core/jackson-databind@2.4.6,CVE-2019-14379,/src/lib/jackson-databind-2.4.6.jar,,CVE-2019-14379,CWE-1321,,"SubTypeValidator.java in FasterXML jackson-databind before 2.9.9.2 mishandles default typing when ehcache is used (because of net.sf.ehcache.transaction.manager.DefaultTransactionManagerLookup), leading to remote code execution."
dependency-check,CRITICAL,pkg:maven/com.fasterxml.jackson.core/jackson-databind@2.4.6,CVE-2019-14540,/src/lib/jackson-databind-2.4.6.jar,,CVE-2019-14540,CWE-502,,A Polymorphic Typing issue was discovered in FasterXML jackson-databind before 2.9.10. It is related to com.zaxxer.hikari.HikariConfig.
dependency-check,CRITICAL,pkg:maven/com.fasterxml.jackson.core/jackson-databind@2.4.6,CVE-2019-14892,/src/lib/jackson-databind-2.4.6.jar,,CVE-2019-14892,"CWE-502,CWE-200",,"A flaw was discovered in jackson-databind in versions before 2.9.10, 2.8.11.5 and 2.6.7.3, where it would permit polymorphic deserialization of a malicious object using commons-configuration 1 and 2 JNDI classes. An attacker could use this flaw to execute arbitrary code."
dependency-check,CRITICAL,pkg:maven/com.fasterxml.jackson.core/jackson-databind@2.4.6,CVE-2019-16335,/src/lib/jackson-databind-2.4.6.jar,,CVE-2019-16335,CWE-502,,A Polymorphic Typing issue was discovered in FasterXML jackson-databind before 2.9.10. It is related to com.zaxxer.hikari.HikariDataSource. This is a different vulnerability than CVE-2019-14540.
dependency-check,CRITICAL,pkg:maven/com.fasterxml.jackson.core/jackson-databind@2.4.6,CVE-2019-16942,/src/lib/jackson-databind-2.4.6.jar,,CVE-2019-16942,CWE-502,,"A Polymorphic Typing issue was discovered in FasterXML jackson-databind 2.0.0 through 2.9.10. When Default Typing is enabled (either globally or for a specific property) for an externally exposed JSON endpoint and the service has the commons-dbcp (1.4) jar in the classpath, and an attacker can find an RMI service endpoint to access, it is possible to make the service execute a malicious payload. This issue exists because of org.apache.commons.dbcp.datasources.SharedPoolDataSource and org.apache.commons.dbcp.datasources.PerUserPoolDataSource mishandling."
dependency-check,CRITICAL,pkg:maven/com.fasterxml.jackson.core/jackson-databind@2.4.6,CVE-2019-16943,/src/lib/jackson-databind-2.4.6.jar,,CVE-2019-16943,CWE-502,,"A Polymorphic Typing issue was discovered in FasterXML jackson-databind 2.0.0 through 2.9.10. When Default Typing is enabled (either globally or for a specific property) for an externally exposed JSON endpoint and the service has the p6spy (3.8.6) jar in the classpath, and an attacker can find an RMI service endpoint to access, it is possible to make the service execute a malicious payload. This issue exists because of com.p6spy.engine.spy.P6DataSource mishandling."
dependency-check,CRITICAL,pkg:maven/com.fasterxml.jackson.core/jackson-databind@2.4.6,CVE-2019-17267,/src/lib/jackson-databind-2.4.6.jar,,CVE-2019-17267,CWE-502,,A Polymorphic Typing issue was discovered in FasterXML jackson-databind before 2.9.10. It is related to net.sf.ehcache.hibernate.EhcacheJtaTransactionManagerLookup.
dependency-check,CRITICAL,pkg:maven/com.fasterxml.jackson.core/jackson-databind@2.4.6,CVE-2019-17531,/src/lib/jackson-databind-2.4.6.jar,,CVE-2019-17531,CWE-502,,"A Polymorphic Typing issue was discovered in FasterXML jackson-databind 2.0.0 through 2.9.10. When Default Typing is enabled (either globally or for a specific property) for an externally exposed JSON endpoint and the service has the apache-log4j-extra (version 1.2.x) jar in the classpath, and an attacker can provide a JNDI service to access, it is possible to make the service execute a malicious payload."
dependency-check,CRITICAL,pkg:maven/com.fasterxml.jackson.core/jackson-databind@2.4.6,CVE-2019-20330,/src/lib/jackson-databind-2.4.6.jar,,CVE-2019-20330,CWE-502,,FasterXML jackson-databind 2.x before 2.9.10.2 lacks certain net.sf.ehcache blocking.
dependency-check,CRITICAL,pkg:maven/com.fasterxml.jackson.core/jackson-databind@2.4.6,CVE-2020-8840,/src/lib/jackson-databind-2.4.6.jar,,CVE-2020-8840,CWE-502,,"FasterXML jackson-databind 2.0.0 through 2.9.10.2 lacks certain xbean-reflect/JNDI blocking, as demonstrated by org.apache.xbean.propertyeditor.JndiConverter."
dependency-check,CRITICAL,pkg:maven/com.fasterxml.jackson.core/jackson-databind@2.4.6,CVE-2020-9547,/src/lib/jackson-databind-2.4.6.jar,,CVE-2020-9547,CWE-502,,"FasterXML jackson-databind 2.x before 2.9.10.4 mishandles the interaction between serialization gadgets and typing, related to com.ibatis.sqlmap.engine.transaction.jta.JtaTransactionConfig (aka ibatis-sqlmap)."
dependency-check,CRITICAL,pkg:maven/com.fasterxml.jackson.core/jackson-databind@2.4.6,CVE-2020-9548,/src/lib/jackson-databind-2.4.6.jar,,CVE-2020-9548,CWE-502,,"FasterXML jackson-databind 2.x before 2.9.10.4 mishandles the interaction between serialization gadgets and typing, related to br.com.anteros.dbcp.AnterosDBCPConfig (aka anteros-core)."
dependency-check,HIGH,pkg:maven/com.fasterxml.jackson.core/jackson-databind@2.4.6,CVE-2020-10673,/src/lib/jackson-databind-2.4.6.jar,,CVE-2020-10673,"CWE-502,NVD-CWE-Other",,"FasterXML jackson-databind 2.x before 2.9.10.4 mishandles the interaction between serialization gadgets and typing, related to com.caucho.config.types.ResourceRef (aka caucho-quercus)."
dependency-check,HIGH,pkg:maven/com.fasterxml.jackson.core/jackson-databind@2.4.6,CVE-2018-5968,/src/lib/jackson-databind-2.4.6.jar,,CVE-2018-5968,"CWE-502,CWE-184",,FasterXML jackson-databind through 2.8.11 and 2.9.x through 2.9.3 allows unauthenticated remote code execution because of an incomplete fix for the CVE-2017-7525 and CVE-2017-17485 deserialization flaws. This is exploitable via two different gadgets that bypass a blacklist.
dependency-check,HIGH,pkg:maven/com.fasterxml.jackson.core/jackson-databind@2.4.6,CVE-2020-10650,/src/lib/jackson-databind-2.4.6.jar,,CVE-2020-10650,CWE-502,,"A deserialization flaw was discovered in jackson-databind through 2.9.10.4. It could allow an unauthenticated user to perform code execution via ignite-jta or quartz-core: org.apache.ignite.cache.jta.jndi.CacheJndiTmLookup, org.apache.ignite.cache.jta.jndi.CacheJndiTmFactory, and org.quartz.utils.JNDIConnectionProvider."
dependency-check,HIGH,pkg:maven/com.fasterxml.jackson.core/jackson-databind@2.4.6,CVE-2020-24616,/src/lib/jackson-databind-2.4.6.jar,,CVE-2020-24616,CWE-502,,"FasterXML jackson-databind 2.x before 2.9.10.6 mishandles the interaction between serialization gadgets and typing, related to br.com.anteros.dbcp.AnterosDBCPDataSource (aka Anteros-DBCP)."
dependency-check,HIGH,pkg:maven/com.fasterxml.jackson.core/jackson-databind@2.4.6,CVE-2020-24750,/src/lib/jackson-databind-2.4.6.jar,,CVE-2020-24750,CWE-502,,"FasterXML jackson-databind 2.x before 2.9.10.6 mishandles the interaction between serialization gadgets and typing, related to com.pastdev.httpcomponents.configuration.JndiConfiguration."
dependency-check,HIGH,pkg:maven/com.fasterxml.jackson.core/jackson-databind@2.4.6,CVE-2020-35490,/src/lib/jackson-databind-2.4.6.jar,,CVE-2020-35490,CWE-502,,"FasterXML jackson-databind 2.x before 2.9.10.8 mishandles the interaction between serialization gadgets and typing, related to org.apache.commons.dbcp2.datasources.PerUserPoolDataSource."
dependency-check,HIGH,pkg:maven/com.fasterxml.jackson.core/jackson-databind@2.4.6,CVE-2020-35491,/src/lib/jackson-databind-2.4.6.jar,,CVE-2020-35491,CWE-502,,"FasterXML jackson-databind 2.x before 2.9.10.8 mishandles the interaction between serialization gadgets and typing, related to org.apache.commons.dbcp2.datasources.SharedPoolDataSource."
dependency-check,HIGH,pkg:maven/com.fasterxml.jackson.core/jackson-databind@2.4.6,CVE-2020-36179,/src/lib/jackson-databind-2.4.6.jar,,CVE-2020-36179,CWE-502,,"FasterXML jackson-databind 2.x before 2.9.10.8 mishandles the interaction between serialization gadgets and typing, related to oadd.org.apache.commons.dbcp.cpdsadapter.DriverAdapterCPDS."
dependency-check,HIGH,pkg:maven/com.fasterxml.jackson.core/jackson-databind@2.4.6,CVE-2020-36180,/src/lib/jackson-databind-2.4.6.jar,,CVE-2020-36180,CWE-502,,"FasterXML jackson-databind 2.x before 2.9.10.8 mishandles the interaction between serialization gadgets and typing, related to org.apache.commons.dbcp2.cpdsadapter.DriverAdapterCPDS."
dependency-check,HIGH,pkg:maven/com.fasterxml.jackson.core/jackson-databind@2.4.6,CVE-2020-36181,/src/lib/jackson-databind-2.4.6.jar,,CVE-2020-36181,CWE-502,,"FasterXML jackson-databind 2.x before 2.9.10.8 mishandles the interaction between serialization gadgets and typing, related to org.apache.tomcat.dbcp.dbcp.cpdsadapter.DriverAdapterCPDS."
dependency-check,HIGH,pkg:maven/com.fasterxml.jackson.core/jackson-databind@2.4.6,CVE-2020-36182,/src/lib/jackson-databind-2.4.6.jar,,CVE-2020-36182,CWE-502,,"FasterXML jackson-databind 2.x before 2.9.10.8 mishandles the interaction between serialization gadgets and typing, related to org.apache.tomcat.dbcp.dbcp2.cpdsadapter.DriverAdapterCPDS."
dependency-check,HIGH,pkg:maven/com.fasterxml.jackson.core/jackson-databind@2.4.6,CVE-2020-36183,/src/lib/jackson-databind-2.4.6.jar,,CVE-2020-36183,CWE-502,,"FasterXML jackson-databind 2.x before 2.9.10.8 mishandles the interaction between serialization gadgets and typing, related to org.docx4j.org.apache.xalan.lib.sql.JNDIConnectionPool."
dependency-check,HIGH,pkg:maven/com.fasterxml.jackson.core/jackson-databind@2.4.6,CVE-2020-36184,/src/lib/jackson-databind-2.4.6.jar,,CVE-2020-36184,CWE-502,,"FasterXML jackson-databind 2.x before 2.9.10.8 mishandles the interaction between serialization gadgets and typing, related to org.apache.tomcat.dbcp.dbcp2.datasources.PerUserPoolDataSource."
dependency-check,HIGH,pkg:maven/com.fasterxml.jackson.core/jackson-databind@2.4.6,CVE-2020-36185,/src/lib/jackson-databind-2.4.6.jar,,CVE-2020-36185,CWE-502,,"FasterXML jackson-databind 2.x before 2.9.10.8 mishandles the interaction between serialization gadgets and typing, related to org.apache.tomcat.dbcp.dbcp2.datasources.SharedPoolDataSource."
dependency-check,HIGH,pkg:maven/com.fasterxml.jackson.core/jackson-databind@2.4.6,CVE-2020-36186,/src/lib/jackson-databind-2.4.6.jar,,CVE-2020-36186,CWE-502,,"FasterXML jackson-databind 2.x before 2.9.10.8 mishandles the interaction between serialization gadgets and typing, related to org.apache.tomcat.dbcp.dbcp.datasources.PerUserPoolDataSource."
dependency-check,HIGH,pkg:maven/com.fasterxml.jackson.core/jackson-databind@2.4.6,CVE-2020-36187,/src/lib/jackson-databind-2.4.6.jar,,CVE-2020-36187,CWE-502,,"FasterXML jackson-databind 2.x before 2.9.10.8 mishandles the interaction between serialization gadgets and typing, related to org.apache.tomcat.dbcp.dbcp.datasources.SharedPoolDataSource."
dependency-check,HIGH,pkg:maven/com.fasterxml.jackson.core/jackson-databind@2.4.6,CVE-2020-36188,/src/lib/jackson-databind-2.4.6.jar,,CVE-2020-36188,CWE-502,,"FasterXML jackson-databind 2.x before 2.9.10.8 mishandles the interaction between serialization gadgets and typing, related to com.newrelic.agent.deps.ch.qos.logback.core.db.JNDIConnectionSource."
dependency-check,HIGH,pkg:maven/com.fasterxml.jackson.core/jackson-databind@2.4.6,CVE-2020-36189,/src/lib/jackson-databind-2.4.6.jar,,CVE-2020-36189,CWE-502,,"FasterXML jackson-databind 2.x before 2.9.10.8 mishandles the interaction between serialization gadgets and typing, related to com.newrelic.agent.deps.ch.qos.logback.core.db.DriverManagerConnectionSource."
dependency-check,HIGH,pkg:maven/com.fasterxml.jackson.core/jackson-databind@2.4.6,CVE-2021-20190,/src/lib/jackson-databind-2.4.6.jar,,CVE-2021-20190,CWE-502,,A flaw was found in jackson-databind before 2.9.10.7. FasterXML mishandles the interaction between serialization gadgets and typing. The highest threat from this vulnerability is to data confidentiality and integrity as well as system availability.
dependency-check,HIGH,pkg:maven/com.fasterxml.jackson.core/jackson-databind@2.4.6,CVE-2018-12022,/src/lib/jackson-databind-2.4.6.jar,,CVE-2018-12022,CWE-502,,"An issue was discovered in FasterXML jackson-databind prior to 2.7.9.4, 2.8.11.2, and 2.9.6. When Default Typing is enabled (either globally or for a specific property), the service has the Jodd-db jar (for database access for the Jodd framework) in the classpath, and an attacker can provide an LDAP service to access, it is possible to make the service execute a malicious payload."
dependency-check,HIGH,pkg:maven/com.fasterxml.jackson.core/jackson-databind@2.4.6,CVE-2019-12086,/src/lib/jackson-databind-2.4.6.jar,,CVE-2019-12086,CWE-502,,"A Polymorphic Typing issue was discovered in FasterXML jackson-databind 2.x before 2.9.9. When Default Typing is enabled (either globally or for a specific property) for an externally exposed JSON endpoint, the service has the mysql-connector-java jar (8.0.14 or earlier) in the classpath, and an attacker can host a crafted MySQL server reachable by the victim, an attacker can send a crafted JSON message that allows them to read arbitrary local files on the server. This occurs because of missing com.mysql.cj.jdbc.admin.MiniAdmin validation."
dependency-check,HIGH,pkg:maven/com.fasterxml.jackson.core/jackson-databind@2.4.6,CVE-2019-14439,/src/lib/jackson-databind-2.4.6.jar,,CVE-2019-14439,CWE-502,,A Polymorphic Typing issue was discovered in FasterXML jackson-databind 2.x before 2.9.9.2. This occurs when Default Typing is enabled (either globally or for a specific property) for an externally exposed JSON endpoint and the service has the logback jar in the classpath.
dependency-check,HIGH,pkg:maven/com.fasterxml.jackson.core/jackson-databind@2.4.6,CVE-2020-36518,/src/lib/jackson-databind-2.4.6.jar,,CVE-2020-36518,CWE-787,,jackson-databind before 2.13.0 allows a Java StackOverflow exception and denial of service via a large depth of nested objects.
dependency-check,HIGH,pkg:maven/com.fasterxml.jackson.core/jackson-databind@2.4.6,CVE-2022-42003,/src/lib/jackson-databind-2.4.6.jar,,CVE-2022-42003,CWE-502,,"In FasterXML jackson-databind before versions 2.13.4.1 and 2.12.17.1, resource exhaustion can occur because of a lack of a check in primitive value deserializers to avoid deep wrapper array nesting, when the UNWRAP_SINGLE_VALUE_ARRAYS feature is enabled."
dependency-check,HIGH,pkg:maven/com.fasterxml.jackson.core/jackson-databind@2.4.6,CVE-2022-42004,/src/lib/jackson-databind-2.4.6.jar,,CVE-2022-42004,CWE-502,,"In FasterXML jackson-databind before 2.13.4, resource exhaustion can occur because of a lack of a check in BeanDeserializer._deserializeFromArray to prevent use of deeply nested arrays. An application is vulnerable only with certain customized choices for deserialization."
dependency-check,MEDIUM,pkg:maven/com.fasterxml.jackson.core/jackson-databind@2.4.6,CVE-2018-1000873,/src/lib/jackson-databind-2.4.6.jar,,CVE-2018-1000873,CWE-20,,"Fasterxml Jackson version Before 2.9.8 contains a CWE-20: Improper Input Validation vulnerability in Jackson-Modules-Java8 that can result in Causes a denial-of-service (DoS). This attack appear to be exploitable via The victim deserializes malicious input, specifically very large values in the nanoseconds field of a time value. This vulnerability appears to have been fixed in 2.9.8."
dependency-check,MEDIUM,pkg:maven/com.fasterxml.jackson.core/jackson-databind@2.4.6,CVE-2019-12384,/src/lib/jackson-databind-2.4.6.jar,,CVE-2019-12384,CWE-502,,"FasterXML jackson-databind 2.x before 2.9.9.1 might allow attackers to have a variety of impacts by leveraging failure to block the logback-core class from polymorphic deserialization. Depending on the classpath content, remote code execution may be possible."
dependency-check,MEDIUM,pkg:maven/com.fasterxml.jackson.core/jackson-databind@2.4.6,CVE-2019-12814,/src/lib/jackson-databind-2.4.6.jar,,CVE-2019-12814,CWE-502,,"A Polymorphic Typing issue was discovered in FasterXML jackson-databind 2.x through 2.9.9. When Default Typing is enabled (either globally or for a specific property) for an externally exposed JSON endpoint and the service has JDOM 1.x or 2.x jar in the classpath, an attacker can send a specifically crafted JSON message that allows them to read arbitrary local files on the server."
dependency-check,MEDIUM,pkg:maven/com.fasterxml.jackson.core/jackson-databind@2.4.6,CVE-2023-35116,/src/lib/jackson-databind-2.4.6.jar,,CVE-2023-35116,CWE-770,,"jackson-databind through 2.15.2 allows attackers to cause a denial of service or other unspecified impact via a crafted object that uses cyclic dependencies. NOTE: the vendor's perspective is that this is not a valid vulnerability report, because the steps of constructing a cyclic data structure and trying to serialize it cannot be achieved by an external attacker."
